"","Indicator","year","Indicator_no","Total.number.of.pregnant.women.Registered.for.ANC...","Number.of.Pregnant.women.registered.within.first.trimester...","Number.of.Women.registered.under.JSY...","X..1st.Trimester.registration.to.Total.ANC.Registrations...","X..JSY.registration.to.Total.ANC.Registration...","Number.of.pregnant.women.received.3.ANC.check.ups...","TT2.or.Booster.given.to.Pregnant.women..numbers....","X..Pregnant.Woman.received.3.ANC.check.ups.to.Total.ANC.Registrations...","X..Pregnant.women.received.TT2.or.Booster.to.Total.ANC.Registration...","Number.of.Pregnant.women.given.100.IFA.tablets...","X..Pregnant.women.given.100.IFA.to.Total.ANC.Registration...","Number.having.Hb.level.11..tested.cases....","Number.having.severe.anaemia..Hb.7..treated.at.institution...","X..Pregnant.women.having.severe.anaemia..Hb.7..treated.at.institution.to.women.having.hb.level.11...","X..New.cases.detected.at.institution.for.hypertension.to.Total.ANC.Registrations...","Number.of.Home.deliveries...","Number.of.home.deliveries.attended.by.SBA.trained..Doctor.Nurse.ANM....","Number.of.home.deliveries.attended.by.Non.SBA.trained..trained.TB.Dai....","X..SBA.attended.home.deliveries.to.Total.Reported.Home.Deliveries...","Mothers.paid.JSY.incentive.for.home.deliveries...","X..Mothers.paid.JSY.incentive.for.home.deliveries.to.Total.Reported.Home.Deliveries...","Deliveries.Conducted.at.Public.Institutions...","Number.of.Women.Discharged.under.48.hours.of.delivery.in.public.facilities...","X..Women.discharged.in.less.than.48.hours.of.delivery.to.Total.Reported.Deliveries.at.public.institutions...","Institutional.deliveries..Public.Insts..Pvt..Insts.....","X..Institutional.Deliveries.to.total.ANC.registration...","Total.reported.deliveries...","X..Institutional.deliveries.to.Total.Reported.Deliveries...","X..Safe.deliveries.to.Total.Reported.Deliveries...","X..Home.deliveries.to.Total.Reported.Deliveries...","Number.of.C.section.deliveries.conducted.at.public.facilities...","Number.of.C.section.deliveries.conducted.at.private.facilities...","X..C.section.deliveries..Public...Pvt...to.reported.institutional..Public...Pvt...deliveries...","X..C.sections.conducted.at.public.facilities.to.Deliveries.conducted.at.public.facilities...","X..C.sections.conducted.at.Private.facilities.to.Deliveries.conducted.at.private.facilities...","X..Deliveries.conducted.at.Public.Institutions.to.Total.Institutional.Deliveries...","X..Mothers.paid.JSY.Incentive.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..of.cases.where.JSY.Incentive.paid.to.ASHA.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..Deliveries.conducted.at.Private.Institutions.to.Total.Institutional.Deliveries...","Women.received.post.partum.check.up.within.48.hours.of.delivery...","Post...Natal.Care...Women.got.a.post.partum.check.up.between.48.hours.and.14.days...","X..Women.receiving.post.partum.check.up.within.48.hours.of.delivery.to.Total.Reported.Deliveries...","X..Women.getting.Post.Partum.Checkup.between.48.hours.and.14.days.to.Total.Deliveries...","Total.Number.of.reported.live.births...","X..Total.Reported.Live.Births.to.Total.Deliveries...","Total.Number.of.reported.Still.Births...","X..live.birth.to.Reported.Birth...","Number.of.Newborns.weighed.at.birth...","X..Newborns.weighed.at.birth.to.live.birth...","Number.of.Newborns.having.weight.less.than.2.5.kg...","X..Newborns.having.weight.less.than.2.5.kg.to.Newborns.weighed.at.birth..."
"146","Ullanad CHCArea","2014-15",7,"1,104","878","530",79.5,48,"1,043","889",94.5,80.5,"970",87.9,"10","0",0,0.6,0,0,0,NA,0,NA,"0",0,NA,"1,080",97.8,"1,080",100,100,0,"0","458",42.4,NA,42.4,0,NA,NA,100,"1,080","1,285",100,119,"1,080",100,0,100,"1,080",100,"57",5.3
"147","Uzhavoor Speciality BPHCArea","2014-15",7,"594","479","351",80.6,59.1,"564","281",94.9,47.3,"547",92.1,"7","0",0,0,0,0,0,NA,0,NA,"0",0,NA,"160",26.9,"160",100,100,0,"0","65",40.6,NA,40.6,0,NA,NA,100,"160","556",100,347.5,"159",99.4,1,99.4,"159",100,"20",12.6
"148","x","2014-15",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Balussery CHC Area","2014-15",8,"2,110","1,761","1,694",83.5,80.3,"2,059","1,688",97.6,80,"2,028",96.1,"83","0",0,1.2,2,0,2,0,0,0,"0",0,NA,"419",19.9,"421",99.5,99.5,0.5,"0","105",25.1,NA,25.1,0,NA,NA,100,"421","1,606",100,381.5,"419",99.5,0,100,"419",100,"2",0.5
"151","Cheroopa BPHC Area","2014-15",8,"1,838","1,460","1,601",79.4,87.1,"1,459","1,207",79.4,65.7,"1,516",82.5,"218","0",0,0.7,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","1,581",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"152","Cheruvady BPHC Area","2014-15",8,"2,946","2,489","2,941",84.5,99.8,"2,756","1,438",93.6,48.8,"2,688",91.2,"150","0",0,1.9,3,0,3,0,0,0,"0",0,NA,"138",4.7,"141",97.9,97.9,2.1,"0","63",45.7,NA,45.7,0,NA,NA,100,"138","2,698",97.9,1913.5,"141",100,0,100,"141",100,"15",10.6
"153","Cheruvannoor BPHC Area","2014-15",8,"3,108","2,464","2,885",79.3,92.8,"2,941","2,913",94.6,93.7,"2,854",91.8,"506","0",0,2.7,0,0,0,NA,0,NA,"0",0,NA,"1,276",41.1,"1,276",100,100,0,"0","382",29.9,NA,29.9,0,NA,NA,100,"1,276","3,173",100,248.7,"1,276",100,0,100,"1,276",100,"7",0.5
"154","Govt Hospital Vatakara","2014-15",8,"995","577","995",58,100,"676","1,761",67.9,177,"993",99.8,"115","0",0,7.1,NA,NA,NA,NA,NA,NA,"107",0,0,"2,087",209.7,"2,087",100,100,0,"18","837",41,16.8,42.3,5.1,21.5,7.5,94.9,"2,088","1,787",100,85.6,"2,100",100.6,0,100,"2,100",100,"162",7.7
"155","Govt Hospital Koyilandy","2014-15",8,"157","134","157",85.4,100,"136","704",86.6,448.4,"114",72.6,"28","0",0,10.8,NA,NA,NA,NA,NA,NA,"79",0,0,"79",50.3,"79",100,100,0,"0","0",0,0,NA,100,81,0,0,"79","125",100,158.2,"79",100,0,100,"79",100,"5",6.3
"156","Kuttiyady CHC Area","2014-15",8,"4,223","3,459","2,612",81.9,61.9,"3,968","2,358",94,55.8,"4,075",96.5,"323","0",0,0.7,1,1,0,100,0,0,"841",0,0,"1,940",45.9,"1,941",99.9,100,0.1,"346","252",30.8,41.1,22.9,43.4,49,2.1,56.6,"1,859","3,697",95.8,190.5,"1,939",99.9,3,99.8,"1,939",100,"30",1.5
"157","Medical College Hospital Calicut","2014-15",8,"1,969","1,138","1,948",57.8,98.9,"1,470","3,325",74.7,168.9,"1,830",92.9,"298","24",8.1,6.6,NA,NA,NA,NA,NA,NA,"16,598",0,0,"29,245",1485.3,"29,245",100,100,0,"5,901","5,743",39.8,35.6,45.4,56.8,49.2,0,43.2,"30,035","7,662",102.7,26.2,"30,077",102.8,488,98.4,"30,077",100,"4,739",15.8
"158","Melady BPHC Area","2014-15",8,"2,831","2,436","2,798",86,98.8,"2,559","2,039",90.4,72,"2,661",94,"203","0",0,1.4,0,0,0,NA,0,NA,"0",0,NA,"1",0,"1",100,100,0,"0","0",0,NA,0,0,NA,NA,100,"1","2,296",100,9600,"1",100,0,100,"1",100,"0",0
"159","Mukkom CHC Area","2014-15",8,"2,584","2,175","1,970",84.2,76.2,"2,415","2,400",93.5,92.9,"2,504",96.9,"165","0",0,1,9,2,7,22.2,0,0,"2",0,0,"2,416",93.5,"2,425",99.6,99.7,0.4,"0","844",34.9,0,35,0.1,50,0,99.9,"2,476","4,337",102.1,178.8,"2,431",100.2,5,99.8,"2,431",100,"136",5.6
"160","Narikkunni CHC Area","2014-15",8,"6,048","4,704","5,827",77.8,96.3,"5,426","4,966",89.7,82.1,"5,672",93.8,"226","0",0,1.4,1,0,1,0,0,0,"1,357",75,5.5,"5,887",97.3,"5,888",100,100,0,"257","1,310",26.6,18.9,28.9,23.1,25.6,0,76.9,"4,393","5,699",74.6,96.8,"5,922",100.6,9,99.8,"5,922",100,"679",11.5
"161","Olavanna BPHC Area","2014-15",8,"2,646","2,164","2,640",81.8,99.8,"2,609","2,213",98.6,83.6,"2,492",94.2,"156","9",5.8,1.6,0,0,0,NA,0,NA,"0",0,NA,"2,451",92.6,"2,451",100,100,0,"0","867",35.4,NA,35.4,0,NA,NA,100,"2,232","2,500",91.1,102,"2,474",100.9,2,99.9,"2,474",100,"62",2.5
"162","Orkkattery CHC Area","2014-15",8,"2,135","1,735","2,128",81.3,99.7,"1,894","827",88.7,38.7,"2,076",97.2,"244","0",0,1.6,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","1,680",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"163","Perambra CHC Area","2014-15",8,"2,961","2,501","2,913",84.5,98.4,"2,580","1,816",87.1,61.3,"2,550",86.1,"358","0",0,1.4,1,0,1,0,0,0,"156",0,0,"156",5.3,"157",99.4,99.4,0.6,"0","0",0,0,NA,100,51.3,0,0,"137","2,456",87.3,1564.3,"156",99.4,1,99.4,"156",100,"23",14.7
"164","Thalakkulathur CHC Area","2014-15",8,"2,124","1,773","1,912",83.5,90,"1,942","1,189",91.4,56,"1,842",86.7,"160","0",0,0.9,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","954",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"165","Thiruvallur CHC Area","2014-15",8,"2,352","1,941","2,343",82.5,99.6,"2,322","1,323",98.7,56.3,"2,406",102.3,"159","0",0,1.2,0,0,0,NA,0,NA,"0",0,NA,"100",4.3,"100",100,100,0,"0","30",30,NA,30,0,NA,NA,100,"98","1,969",98,1969,"98",98,2,98,"98",100,"0",0
"166","Thiruvangoor BPHC Area","2014-15",8,"1,759","1,438","1,638",81.8,93.1,"1,591","887",90.4,50.4,"1,683",95.7,"115","0",0,0.4,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","1,283",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"167","Ulliyeri CHC Area","2014-15",8,"1,944","1,670","1,927",85.9,99.1,"1,836","1,007",94.4,51.8,"1,916",98.6,"123","0",0,1.1,0,0,0,NA,0,NA,"0",0,NA,"180",9.3,"180",100,100,0,"0","92",51.1,NA,51.1,0,NA,NA,100,"74","1,724",41.1,957.8,"179",99.4,3,98.4,"179",100,"25",14
"168","Valayam BPHC Area","2014-15",8,"2,370","1,935","2,328",81.6,98.2,"2,042","688",86.2,29,"2,376",100.3,"66","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"8","1,789",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"169","W and C Hospital Calicut","2014-15",8,"2,207","1,631","2,207",73.9,100,"2,147","4,701",97.3,213,"2,082",94.3,"258","22",8.5,6.5,NA,NA,NA,NA,NA,NA,"5,920",0,0,"10,362",469.5,"10,362",100,100,0,"2,554","2,607",49.8,43.1,58.7,57.1,100,0,42.9,"10,362","10,362",100,100,"10,428",100.6,8,99.9,"10,426",100,"703",6.7
"171","Chungathara BPHCArea","2014-15",9,"5,912","5,023","5,129",85,86.8,"5,267","2,988",89.1,50.5,"5,532",93.6,"851","9",1.1,0.3,49,0,49,0,3,6.1,"0",0,NA,"1,671",28.3,"1,720",97.2,97.2,2.8,"0","463",27.7,NA,27.7,0,NA,NA,100,"1,714","6,349",99.7,369.1,"1,717",99.8,4,99.8,"1,717",100,"151",8.8
"172","District Hospital Manjeri","2014-15",9,"2,100","1,359","1,191",64.7,56.7,"1,294","2,650",61.6,126.2,"2,060",98.1,"474","42",8.9,29.5,NA,NA,NA,NA,NA,NA,"4,138",0,0,"9,591",456.7,"9,591",100,100,0,"750","1,448",22.9,18.1,26.6,43.1,85.9,3.7,56.9,"9,251","3,065",96.5,32,"9,662",100.7,13,99.9,"9,662",100,"1,252",13
"173","Edavanna BPHCArea","2014-15",9,"5,350","4,637","4,541",86.7,84.9,"4,479","2,128",83.7,39.8,"5,171",96.7,"1,398","5",0.4,0.5,30,0,30,0,0,0,"126",0,0,"439",8.2,"469",93.6,93.6,6.4,"0","70",15.9,0,22.4,28.7,100.8,0,71.3,"463","4,187",98.7,892.8,"465",99.1,5,98.9,"465",100,"25",5.4
"174","Kondotty BPHCArea","2014-15",9,"5,454","4,351","3,545",79.8,65,"4,642","3,142",85.1,57.6,"7,664",140.5,"1,309","39",3,4.3,7,0,7,0,0,0,"0",0,NA,"4,922",90.2,"4,929",99.9,99.9,0.1,"0","749",15.2,NA,15.2,0,NA,NA,100,"4,900","5,598",99.4,113.6,"4,937",100.2,2,100,"4,937",100,"385",7.8
"175","Kuttippuram BPHCArea","2014-15",9,"5,238","4,168","1,318",79.6,25.2,"4,230","1,994",80.8,38.1,"4,650",88.8,"460","2",0.4,0.6,2,0,2,0,0,0,"0",0,NA,"3,323",63.4,"3,325",99.9,99.9,0.1,"0","1,137",34.2,NA,34.2,0,NA,NA,100,"3,324","5,694",100,171.2,"3,336",100.3,0,100,"3,336",100,"262",7.9
"176","Mankada BPHCArea","2014-15",9,"7,759","6,194","2,512",79.8,32.4,"6,672","4,008",86,51.7,"6,998",90.2,"685","23",3.4,0.7,12,0,12,0,0,0,"0",0,NA,"2,013",25.9,"2,025",99.4,99.4,0.6,"0","1,054",52.4,NA,52.4,0,NA,NA,100,"2,024","5,851",100,288.9,"2,030",100.2,34,98.4,"2,030",100,"334",16.5
"177","Marancherry BPHCArea","2014-15",9,"3,693","3,007","1,275",81.4,34.5,"3,288","1,828",89,49.5,"3,631",98.3,"336","0",0,1.5,0,0,0,NA,0,NA,"0",0,NA,"1,327",35.9,"1,327",100,100,0,"0","462",34.8,NA,34.8,0,NA,NA,100,"1,324","3,518",99.8,265.1,"1,329",100.2,3,99.8,"1,329",100,"100",7.5
"178","Melattur BPHCArea","2014-15",9,"5,800","5,005","1,943",86.3,33.5,"4,957","5,530",85.5,95.3,"9,078",156.5,"2,099","18",0.9,12,7,0,7,0,0,0,"0",0,NA,"4,661",80.4,"4,668",99.9,99.9,0.1,"0","2,630",56.4,NA,56.4,0,NA,NA,100,"4,668","7,164",100,153.5,"4,695",100.6,22,99.5,"4,695",100,"911",19.4
"179","Neduva BPHCArea","2014-15",9,"6,820","5,414","2,622",79.4,38.4,"5,943","6,133",87.1,89.9,"6,165",90.4,"254","0",0,0.3,11,0,11,0,5,45.5,"0",0,NA,"6,556",96.1,"6,567",99.8,99.8,0.2,"0","1,442",22,NA,22,0,NA,NA,100,"6,067","6,657",92.4,101.4,"6,630",101,3,100,"6,629",100,"689",10.4
"180","Ommannur BPHCArea","2014-15",9,"4,471","3,685","3,682",82.4,82.4,"3,989","2,403",89.2,53.7,"4,125",92.3,"546","6",1.1,0.5,7,1,6,14.3,0,0,"0",0,NA,"463",10.4,"470",98.5,98.7,1.5,"0","41",8.9,NA,8.9,0,NA,NA,100,"470","4,011",100,853.4,"470",100,3,99.4,"470",100,"27",5.7
"181","Pookottur BPHCArea","2014-15",9,"6,513","5,239","2,205",80.4,33.9,"5,647","8,332",86.7,127.9,"11,699",179.6,"991","0",0,5.2,16,3,13,18.8,0,0,"0",0,NA,"7,176",110.2,"7,192",99.8,99.8,0.2,"0","1,842",25.7,NA,25.7,0,NA,NA,100,"7,192","11,999",100,166.8,"7,224",100.4,60,99.2,"7,224",100,"1,146",15.9
"182","THQH Malappuram","2014-15",9,"1,010","558","194",55.2,19.2,"901","6,019",89.2,595.9,"1,610",159.4,"2,335","0",0,5.6,NA,NA,NA,NA,NA,NA,"1,234",0,0,"8,651",856.5,"8,651",100,100,0,"290","1,692",22.9,23.5,22.8,14.3,99.4,0.9,85.7,"8,651","1,771",100,20.5,"8,643",99.9,21,99.8,"8,643",100,"1,381",16
"183","THQH Nilambur","2014-15",9,"43","35","6",81.4,14,"67","2,008",155.8,4669.8,"1,492",3469.8,"2,147","33",1.5,120.9,NA,NA,NA,NA,NA,NA,"2,721",0,0,"2,983",6937.2,"2,983",100,100,0,"709","127",28,26.1,48.5,91.2,63.3,0,8.8,"2,983","78",100,2.6,"2,985",100.1,4,99.9,"2,985",100,"330",11.1
"184","THQH Perinthalmanna","2014-15",9,"78","65","0",83.3,0,"88","3,830",112.8,4910.3,"1,959",2511.5,"1,474","68",4.6,314.1,NA,NA,NA,NA,NA,NA,"2,457",0,0,"6,992",8964.1,"6,992",100,100,0,"1,203","1,126",33.3,49,24.8,35.1,96.1,0,64.9,"6,992","2,443",100,34.9,"7,008",100.2,12,99.8,"7,007",100,"417",6
"185","THQH Ponnani","2014-15",9,"1,147","750","1,008",65.4,87.9,"997","1,052",86.9,91.7,"979",85.4,"593","128",21.6,0.7,NA,NA,NA,NA,NA,NA,"1,636",0,0,"1,636",142.6,"1,636",100,100,0,"672",NA,41.1,41.1,NA,100,74.1,0,0,"1,636","695",100,42.5,"1,650",100.9,4,99.8,"1,650",100,"105",6.4
"186","THQH Thiruurangadi","2014-15",9,"168","126","43",75,25.6,"164","5,882",97.6,3501.2,"1,660",988.1,"822","6",0.7,413.7,NA,NA,NA,NA,NA,NA,"363",0,0,"9,288",5528.6,"9,288",100,100,0,"54","2,729",30,14.9,30.6,3.9,92.6,0,96.1,"9,756","7,501",105,80.8,"9,821",105.7,31,99.7,"9,821",100,"1,217",12.4
"187","THQH Tiruur","2014-15",9,"1,110","856","237",77.1,21.4,"1,058","327",95.3,29.5,"1,150",103.6,"158","18",11.4,1.4,NA,NA,NA,NA,NA,NA,"2,324",0,0,"2,324",209.4,"2,324",100,100,0,"972",NA,41.8,41.8,NA,100,10.1,0.3,0,"2,324","2,487",100,107,"2,328",100.2,5,99.8,"2,328",100,"110",4.7
"188","Thavanur BPHCArea","2014-15",9,"3,299","2,830","1,212",85.8,36.7,"2,934","1,580",88.9,47.9,"3,359",101.8,"83","7",8.4,2.5,0,0,0,NA,0,NA,"359",0,0,"4,148",125.7,"4,148",100,100,0,"197","1,584",42.9,54.9,41.8,8.7,144.6,0,91.3,"4,148","4,755",100,114.6,"4,201",101.3,84,98,"4,201",100,"948",22.6
"189","Valavannur BPHCArea","2014-15",9,"7,965","6,418","2,713",80.6,34.1,"6,587","2,281",82.7,28.6,"7,171",90,"333","0",0,0.2,27,0,27,0,0,0,"0",0,NA,"1,001",12.6,"1,028",97.4,97.4,2.6,"0","266",26.6,NA,26.6,0,NA,NA,100,"1,028","5,893",100,573.2,"1,031",100.3,2,99.8,"1,028",99.7,"133",12.9
"190","Vengara BPHCArea","2014-15",9,"8,065","6,327","977",78.5,12.1,"6,746","1,732",83.6,21.5,"7,010",86.9,"224","0",0,0.3,14,0,14,0,1,7.1,"0",0,NA,"1,251",15.5,"1,265",98.9,98.9,1.1,"0","143",11.4,NA,11.4,0,NA,NA,100,"1,263","6,448",99.8,509.7,"1,260",99.6,8,99.4,"1,260",100,"130",10.3
"191","Vettom BPHCArea","2014-15",9,"5,202","4,410","1,834",84.8,35.3,"3,748","1,541",72,29.6,"4,848",93.2,"1,264","3",0.2,4,2,0,2,0,0,0,"0",0,NA,"1,011",19.4,"1,013",99.8,99.8,0.2,"0","353",34.9,NA,34.9,0,NA,NA,100,"1,013","4,019",100,396.7,"1,025",101.2,8,99.2,"1,025",100,"124",12.1
"192","Wandoor BPHCArea","2014-15",9,"7,682","6,338","7,230",82.5,94.1,"6,623","6,008",86.2,78.2,"6,895",89.8,"905","0",0,3.3,11,1,10,9.1,1,9.1,"251",0,0,"4,202",54.7,"4,213",99.7,99.8,0.3,"0","1,087",25.9,0,27.5,6,74.1,0,94,"4,212","7,689",100,182.5,"4,230",100.4,5,99.9,"4,230",100,"423",10
"194","Agali CHCArea","2014-15",10,"1,136","819","1,093",72.1,96.2,"1,101","562",96.9,49.5,"1,073",94.5,"234","0",0,1.3,37,0,37,0,1,2.7,"6",3,50,"6",0.5,"43",14,14,86,"0",NA,0,0,NA,100,83.3,0,0,"37","907",86,2109.3,"41",95.3,1,97.6,"41",100,"20",48.8
"195","Alanellur CHCArea","2014-15",10,"6,273","4,524","3,047",72.1,48.6,"5,538","3,949",88.3,63,"5,682",90.6,"243","0",0,0.4,28,1,27,3.6,0,0,"0",0,NA,"5,308",84.6,"5,336",99.5,99.5,0.5,"0","1,631",30.7,NA,30.7,0,NA,NA,100,"5,333","6,271",99.9,117.5,"5,349",100.2,36,99.3,"5,347",100,"528",9.9
"196","Ambalappara CHCArea","2014-15",10,"2,209","1,667","819",75.5,37.1,"1,951","2,020",88.3,91.4,"2,052",92.9,"223","3",1.3,1.8,0,0,0,NA,0,NA,"0",0,NA,"3,800",172,"3,800",100,100,0,"0","1,006",26.5,NA,26.5,0,NA,NA,100,"3,800","5,700",100,150,"3,803",100.1,10,99.7,"3,802",100,"318",8.4
"197","Chalavara CHCArea","2014-15",10,"2,590","1,641","887",63.4,34.2,"2,237","1,306",86.4,50.4,"2,431",93.9,"95","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","2,174",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"198","Chalissery CHCArea","2014-15",10,"3,574","2,634","1,290",73.7,36.1,"3,079","3,666",86.1,102.6,"4,366",122.2,"418","5",1.2,6,2,0,2,0,0,0,"0",6,NA,"2,254",63.1,"2,256",99.9,99.9,0.1,"0","498",22.1,NA,22.1,0,NA,NA,100,"2,252","2,584",99.8,114.5,"2,259",100.1,4,99.8,"2,248",99.5,"157",7
"199","District Hospital Palakkad","2014-15",10,"985","594","231",60.3,23.5,"1,353","899",137.4,91.3,"754",76.5,"1,270","66",5.2,26.5,NA,NA,NA,NA,NA,NA,"4,192",0,0,"12,238",1242.4,"12,238",100,100,0,"1,538","2,852",35.9,36.7,35.4,34.3,42,0,65.7,"12,244","10,590",100,86.5,"12,312",100.6,13,99.9,"12,312",100,"1,121",9.1
"200","Katampazhipuram CHCArea","2014-15",10,"2,945","2,454","1,476",83.3,50.1,"2,672","2,844",90.7,96.6,"2,814",95.6,"190","1",0.5,0.1,1,0,1,0,0,0,"0",0,NA,"1,179",40,"1,180",99.9,99.9,0.1,"0","350",29.7,NA,29.7,0,NA,NA,100,"1,180","1,955",100,165.7,"1,181",100.1,0,100,"1,178",99.7,"65",5.5
"201","Koduvayoor CHCArea","2014-15",10,"3,498","2,876","2,220",82.2,63.5,"3,338","2,813",95.4,80.4,"3,227",92.3,"212","0",0,0.2,11,0,11,0,0,0,"1",1,100,"378",10.8,"389",97.2,97.2,2.8,"0","173",45.8,0,45.9,0.3,0,0,99.7,"380","3,029",97.7,778.7,"389",100,0,100,"388",99.7,"68",17.5
"202","Kongad CHCArea","2014-15",10,"2,749","2,308","1,077",84,39.2,"2,369","1,765",86.2,64.2,"2,639",96,"628","0",0,1.3,2,0,2,0,0,0,"0",0,NA,"0",0,"2",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"2","1,917",100,5850,"2",100,0,100,"2",100,"1",50
"203","Koppam CHCArea","2014-15",10,"4,607","3,421","1,707",74.3,37.1,"3,587","4,776",77.9,103.7,"4,781",103.8,"1,466","0",0,0.8,2,0,2,0,0,0,"0",4,NA,"2,465",53.5,"2,467",99.9,99.9,0.1,"0","699",28.4,NA,28.4,0,NA,NA,100,"2,298","4,539",93.1,184,"2,474",100.3,2,99.9,"2,474",100,"262",10.6
"204","Kozhinjanpara CHC Area","2014-15",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Kuzhalmannam CHCArea","2014-15",10,"3,182","2,537","1,402",79.7,44.1,"2,737","2,941",86,92.4,"2,747",86.3,"215","0",0,0.6,11,2,9,18.2,0,0,"2",5,250,"1,085",34.1,"1,096",99,99.2,1,"0","463",42.7,0,42.8,0.2,2150,0,99.8,"916","3,040",83.6,277.4,"1,114",101.6,5,99.6,"1,081",97,"211",19.5
"206","Nanniyode CHCArea","2014-15",10,"2,291","1,779","2,094",77.7,91.4,"1,948","1,751",85,76.4,"1,962",85.6,"64","0",0,0.3,6,0,6,0,1,16.7,"0",3,NA,"483",21.1,"489",98.8,98.8,1.2,"0","183",37.9,NA,37.9,0,NA,NA,100,"487","1,862",99.6,380.8,"488",99.8,1,99.8,"488",100,"61",12.5
"207","Nemmara CHCArea","2014-15",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Parli CHCArea","2014-15",10,"1,677","1,374","949",81.9,56.6,"1,628","1,366",97.1,81.5,"1,328",79.2,"192","0",0,1.4,2,0,2,0,0,0,"0",0,NA,"47",2.8,"49",95.9,95.9,4.1,"0","21",44.7,NA,44.7,0,NA,NA,100,"39","1,398",79.6,2853.1,"51",104.1,0,100,"50",98,"8",16
"209","Pazhampalakkode CHCArea","2014-15",10,"2,719","2,338","1,313",86,48.3,"2,564","1,620",94.3,59.6,"2,509",92.3,"339","0",0,0.4,2,0,2,0,0,0,"0",0,NA,"1",0,"3",33.3,33.3,66.7,"0","0",0,NA,0,0,NA,NA,100,"5","2,450",166.7,1666.7,"3",100,0,100,"3",100,"0",0
"210","Shornur CHC Area","2014-15",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","THQH Alathoor","2014-15",10,"33","26","32",78.8,97,"28","623",84.8,1887.9,"154",466.7,"6","0",0,0,NA,NA,NA,NA,NA,NA,"993",79,8,"1,660",5030.3,"1,660",100,100,0,"277","196",28.5,27.9,29.4,59.8,0,0,40.2,"1,660","761",100,45.8,"1,662",100.1,3,99.8,"1,642",98.8,"204",12.4
"212","THQH Chittur","2014-15",10,"185","115","185",62.2,100,"157","156",84.9,84.3,"271",146.5,"9","2",22.2,0.5,NA,NA,NA,NA,NA,NA,"4",0,0,"4",2.2,"4",100,100,0,"0","0",0,0,NA,100,675,0,0,"5","0",125,0,"4",100,0,100,"4",100,"0",0
"213","THQH Mannarkkad","2014-15",10,"92","60","17",65.2,18.5,"79","265",85.9,288,"262",284.8,"74","13",17.6,2.2,NA,NA,NA,NA,NA,NA,"1,056",0,0,"1,208",1313,"1,208",100,100,0,"470","96",46.9,44.5,63.2,87.4,16.3,0,12.6,"1,208","491",100,40.6,"1,219",100.9,4,99.7,"1,219",100,"158",13
